STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72572024127,1/1/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",30.7,24,24.3,24,1027.3,24,879.8,18,4.9,24,2.6,24,7,999.9,39, ,19, ,0,G,3.9,100000
72572024127,1/2/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",25.4,24,20.2,24,1030.6,24,880.8,22,5,24,2,24,7,999.9,39, ,17.1, ,0,G,3.1,100000
72572024127,1/3/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",24.5,24,20.5,24,1022.7,23,873.6,17,3,24,2.2,24,8,999.9,39, ,15.1, ,0,G,3.1,101000
72572024127,1/4/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",27.8,24,21.6,24,1018.7,19,870.8,22,6.4,24,4.9,24,11.1,999.9,33.1, ,15.1, ,0.11,G,5.1,101000
72572024127,1/5/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",23.2,24,10.3,24,1029.1,24,879.1,24,10,24,3.6,24,8.9,999.9,34, ,10.9, ,0,I,5.1,0
72572024127,1/6/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",22,24,8.8,24,1035.8,24,884.3,24,10,24,5.5,24,8,999.9,35.1, ,10.9, ,0,G,5.1,0
72572024127,1/7/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",23.8,24,14.3,24,1027.6,24,877.8,24,9.9,24,3.4,24,9.9,999.9,35.1, ,16, ,0,G,5.1,1000
72572024127,1/8/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",29.8,24,27,24,1022,19,873.8,22,4.2,24,2.6,24,6,999.9,35.1, ,17.1, ,0,G,7.1,101000
72572024127,1/9/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",33,24,31,24,1017.9,18,870.8,22,4,24,6.7,24,18.1,999.9,36, ,27, ,0.2,G,7.9,101000
72572024127,1/10/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",33.9,24,25.5,24,1018,24,871.2,24,10,24,6.8,24,12,999.9,43, ,21.9, ,0.13,G,7.1,0
72572024127,1/11/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",41.6,24,28,24,1018.9,24,872.9,24,10,24,9,24,24.1,29.9,50, ,29.1, ,0,G,3.9,0
72572024127,1/12/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.7,24,26.5,24,1015,22,869.1,24,9.5,24,11,24,28.9,36.9,52, ,34, ,0.14,G,3.1,11000
72572024127,1/13/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",37.4,24,25.8,24,1028.4,24,880.9,24,9.8,24,6.2,24,11.1,999.9,52, ,33.1, ,0,H,3.1,1000
72572024127,1/14/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",35.6,24,24.4,24,1033.5,24,885,24,10,24,5,24,8.9,999.9,45, ,26.1, ,0,G,2,0
72572024127,1/15/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",34,24,25.2,24,1036,24,887,24,10,24,4.8,24,8,999.9,45, ,26.1, ,0,G,2,0
72572024127,1/16/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",29.3,24,23.8,24,1034,24,884.5,24,8.2,24,2.7,24,6,999.9,43, ,19, ,0,G,1.2,100000
72572024127,1/17/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",29.1,24,22.9,24,1032.6,24,883,24,6.9,24,2.5,24,7,999.9,39.9, ,18, ,0,G,1.2,0
72572024127,1/18/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",28.3,24,22.8,24,1030.3,24,881,24,5.9,24,2.9,24,7,999.9,39.9, ,18, ,0,G,1.2,0
72572024127,1/19/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",27.2,24,23.2,24,1029,19,879.8,23,3.5,24,3.2,24,7,999.9,39, ,15.1, ,0,G,1.2,100000
72572024127,1/20/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",28.6,24,24,24,1029.8,21,879.9,24,3.9,24,4,24,12,999.9,39, ,15.1, ,0,G,1.2,0
72572024127,1/21/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",26.6,24,22.8,24,1034,21,884,20,3.3,24,3.4,24,7,999.9,37.9, ,16, ,0,G,1.2,100000
72572024127,1/22/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",24.6,24,21.8,24,1027.4,18,877.3,23,3.5,24,2.1,24,8,999.9,37, ,15.1, ,0,G,1.2,100000
72572024127,1/23/2014,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",27.1,24,24.4,24,1026.9,21,879.5,13,1.9,24,3.6,24,8,999.9,37.9, ,15.1, ,0,G,1.2,101000
