date,1983,2011,2023,Median ('91-'20)
4-Feb,12.9,14.6,15.6,9.3
5-Feb,13.0,14.6,15.6,9.4
6-Feb,13.0,14.7,15.9,9.5
7-Feb,13.2,14.8,16.0,9.6
8-Feb,13.5,15.3,16.0,9.7
9-Feb,13.8,15.3,16.1,10.0
10-Feb,14.0,15.3,16.1,10.1
11-Feb,14.2,15.3,16.1,10.2
12-Feb,14.3,15.3,16.1,10.2
13-Feb,14.4,15.3,16.1,10.3
14-Feb,14.8,15.3,16.1,10.5
15-Feb,14.9,15.3,16.4,10.7
16-Feb,15.0,15.3,16.5,10.8
17-Feb,15.0,15.8,16.5,10.9
18-Feb,15.1,15.8,16.5,11.0
19-Feb,15.5,15.8,16.6,11.1
20-Feb,15.7,16.8,16.6,11.3
21-Feb,15.8,17.2,16.7,11.4
22-Feb,15.8,17.2,17.4,11.5
23-Feb,15.9,17.3,17.8,11.7
24-Feb,15.9,17.3,18.1,11.8
25-Feb,16.0,17.5,18.2,11.9
26-Feb,16.1,18.1,18.3,12.0
27-Feb,16.4,18.5,18.6,12.1
28-Feb,16.9,18.5,19.3,12.2
Feb-29,,,,12.3
1-Mar,17.2,18.5,19.8,12.3
2-Mar,17.5,18.6,20.1,12.5
3-Mar,17.9,18.6,20.1,12.5
4-Mar,18.2,19.0,20.2,12.6
5-Mar,18.5,19.1,20.5,12.7
6-Mar,18.7,19.1,20.9,12.8
7-Mar,18.7,19.5,21.1,12.9
8-Mar,18.9,20.1,21.1,12.9
9-Mar,18.9,20.2,21.3,13.1
10-Mar,19.0,20.2,21.4,13.2
11-Mar,19.1,20.2,22.4,13.3
12-Mar,19.2,20.2,22.6,13.3
13-Mar,19.2,20.3,22.8,13.3
14-Mar,19.5,20.3,22.9,13.4
15-Mar,19.7,20.3,23.2,13.4
16-Mar,19.8,20.3,23.9,13.4
17-Mar,20.1,20.8,23.9,13.5
18-Mar,20.4,20.8,23.9,13.5
19-Mar,20.7,20.9,23.9,13.5
20-Mar,20.9,21.0,24.2,13.5
21-Mar,21.1,21.1,24.7,13.5
22-Mar,21.3,21.5,25.1,13.5
23-Mar,21.5,21.8,25.7,13.5
24-Mar,21.9,21.8,26.0,13.6
25-Mar,22.5,22.0,26.5,13.6
26-Mar,22.9,22.3,26.6,13.7
27-Mar,23.1,22.5,26.8,13.8
28-Mar,23.3,22.9,27.0,13.9
29-Mar,23.3,23.2,27.0,14.0
30-Mar,23.5,23.2,27.5,14.1
31-Mar,23.6,23.3,27.9,14.2
1-Apr,23.9,23.0,28.4,14.2
2-Apr,24.1,22.6,28.4,14.3
3-Apr,24.4,22.5,28.7,14.3
4-Apr,24.7,22.8,29.4,14.3
5-Apr,24.8,22.7,29.8,14.1
6-Apr,24.9,22.6,30.0,14.0
7-Apr,24.9,22.6,30.0,13.9
8-Apr,25.0,23.1,30.0,13.7
9-Apr,25.0,23.7,29.9,13.6
