STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72572024127,1/1/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",22.4,24,19.2,24,1012.8,16,864.3,24,2.4,24,3.6,24,8.9,999.9,27, ,19, ,0,G,3.9,0
72572024127,1/2/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",23.5,24,20.5,24,1009.3,18,861.9,24,6.2,24,6.5,24,13,20,30, ,19, ,0.2,G,7.1,101000
72572024127,1/3/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",24,24,21.5,24,1019.8,18,870.9,24,6.1,24,4.6,24,9.9,999.9,30, ,17.1, ,0.08,G,7.9,1000
72572024127,1/4/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",28.8,24,25,24,1013.4,24,866,24,7.3,24,6.5,24,21,27,41, ,17.1, ,0.01,G,7.1,0
72572024127,1/5/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",20,24,14.9,24,1014.9,17,866.3,21,6.6,24,8.7,24,20,22.9,41, ,10, ,0.4,G,9.1,111000
72572024127,1/6/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",7.2,24,0.9,24,1027.9,24,875.1,24,9.9,24,4.5,24,8.9,999.9,24.1, ,-5.1, ,0.1,G,7.9,100000
72572024127,1/7/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",4,24,-0.5,24,1033.8,22,879.4,24,7.6,24,3.2,24,8,999.9,17.6,*,-5.1,*,0,G,7.9,1000
72572024127,1/8/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",20.7,24,17.2,24,1029.7,15,877.5,24,5.5,24,3.5,24,9.9,999.9,30.9,*,14,*,0.01,G,7.1,11000
72572024127,1/9/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",43.5,24,33.1,24,1011.5,23,866.3,24,8.5,24,15.2,24,22.9,36.9,50, ,17.1, ,0.08,G,2,11010
72572024127,1/10/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",39.9,24,30.4,24,1009.2,24,864.7,24,10,24,9.6,24,17.1,26,50, ,35.1, ,0.09,G,3.9,10000
72572024127,1/11/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",42.8,24,32,24,1002.1,22,858.8,24,9.7,24,14.8,24,27,42,46, ,35.1, ,0,G,999.9,10000
72572024127,1/12/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",33.6,24,30.7,24,1011.3,14,867,24,4.8,24,3.7,24,13,999.9,46, ,28.9, ,0.19,G,999.9,101000
72572024127,1/13/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",31.9,24,28.2,24,1022.7,18,874.4,24,6.9,24,2.7,24,8,999.9,37, ,28, ,0.04,G,999.9,101000
72572024127,1/14/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",31.5,24,26.6,24,1028.9,21,880.5,24,8.4,24,3.5,24,8,999.9,37, ,28, ,0,G,999.9,0
72572024127,1/15/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",30,24,24.7,24,1023.7,22,875.8,24,7.7,24,4,24,7,999.9,34, ,27, ,0,G,999.9,0
72572024127,1/16/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",27.2,24,21.1,24,1025.8,24,876.8,24,8,24,6.6,24,11.1,999.9,32, ,21.9, ,0,G,999.9,1000
72572024127,1/17/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",24,24,18.1,24,1028.2,24,878.5,24,7.9,24,2.8,24,8,999.9,32, ,19, ,0,G,999.9,0
72572024127,1/18/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",24.4,24,18.9,24,1024.2,22,875.1,24,6.1,24,3.6,24,13,999.9,32, ,19, ,0,G,999.9,100000
72572024127,1/19/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",27.6,24,24.4,24,1012.3,18,865,24,3.3,24,4.1,24,13,999.9,35.1, ,19.9, ,0,G,1.2,1000
72572024127,1/20/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",32.5,24,29.6,24,1002.2,15,858.6,24,2.8,24,4.9,24,15.9,999.9,43, ,25, ,0.14,G,999.9,101000
72572024127,1/21/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",34.5,24,30.5,24,996.4,16,852,24,6.4,24,6.5,24,15,20,43, ,28.9, ,0.06,G,5.9,101000
72572024127,1/22/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",31.6,24,25.2,24,1013.5,24,867.2,24,9.6,24,9.5,24,19,26,37.9, ,26.1, ,0.5,G,5.1,1000
72572024127,1/23/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",37.2,24,30.4,24,1001.9,19,857.6,24,8.9,24,13.7,24,22,32.1,41, ,26.1, ,0.01,G,1.2,111000
72572024127,1/24/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",31.3,24,25.2,24,1006.8,22,861.3,24,8.3,24,3.5,24,8.9,999.9,41, ,28.9, ,0.15,G,1.2,1000
72572024127,1/25/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",27.5,24,22.1,24,1018.9,17,871.4,24,6.4,24,4.5,24,8.9,999.9,34, ,24.1, ,0.01,G,3.1,1000
72572024127,1/26/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",26.4,24,21.6,24,1028.2,21,878.5,24,8,24,3.5,24,8,999.9,33.1, ,24.1, ,0.08,G,3.1,1000
72572024127,1/27/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",19.2,24,14.3,24,1039,19,886.9,24,5.9,24,3.8,24,8,999.9,33.1, ,8.1, ,0,G,2,100000
72572024127,1/28/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",19.6,24,12.5,24,1046.2,24,892.8,24,9.2,24,4.8,24,9.9,999.9,30.9, ,8.1, ,0,G,2,100000
72572024127,1/29/2017,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",19.3,24,13.6,24,1044.7,22,891.8,24,5.4,24,3.7,24,8.9,999.9,27,*,10.4,*,0,G,2,100000
